,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.8961,0.9452,0.8961,1.0,0,69,0,8,MCLS,PubMed,0.01,77,77
1,0.7013,0.8244,0.7013,1.0,0,54,0,23,CCRNE,PubMed,0.01,77,77
2,0.3117,0.4752,0.3117,1.0,0,24,0,53,RCSVM,PubMed,0.01,77,77
3,0.4545,0.625,0.4545,1.0,0,35,0,42,PU_LP,PubMed,0.01,77,77
4,0.8701,0.9306,0.8701,1.0,0,67,0,10,LP_PUL,PubMed,0.01,77,77
5,0.8961,0.9452,0.8961,1.0,0,138,0,16,MCLS,PubMed,0.02,154,154
6,0.7403,0.8507,0.7403,1.0,0,114,0,40,CCRNE,PubMed,0.02,154,154
7,0.1948,0.3261,0.1948,1.0,0,30,0,124,RCSVM,PubMed,0.02,154,154
8,0.4156,0.5872,0.4156,1.0,0,64,0,90,PU_LP,PubMed,0.02,154,154
9,0.8571,0.9231,0.8571,1.0,0,132,0,22,LP_PUL,PubMed,0.02,154,154
10,0.8836,0.9382,0.8836,1.0,0,205,0,27,MCLS,PubMed,0.03,232,232
11,0.7112,0.8312,0.7112,1.0,0,165,0,67,CCRNE,PubMed,0.03,232,232
12,0.1724,0.2941,0.1724,1.0,0,40,0,192,RCSVM,PubMed,0.03,232,232
13,0.3319,0.4984,0.3319,1.0,0,77,0,155,PU_LP,PubMed,0.03,232,232
14,0.875,0.9333,0.875,1.0,0,203,0,29,LP_PUL,PubMed,0.03,232,232
15,0.8997,0.9472,0.8997,1.0,0,278,0,31,MCLS,PubMed,0.04,309,309
16,0.6958,0.8206,0.6958,1.0,0,215,0,94,CCRNE,PubMed,0.04,309,309
17,0.1812,0.3068,0.1812,1.0,0,56,0,253,RCSVM,PubMed,0.04,309,309
18,0.3528,0.5215,0.3528,1.0,0,109,0,200,PU_LP,PubMed,0.04,309,309
19,0.8641,0.9271,0.8641,1.0,0,267,0,42,LP_PUL,PubMed,0.04,309,309
20,0.8834,0.9381,0.8834,1.0,0,341,0,45,MCLS,PubMed,0.05,386,386
21,0.6166,0.7628,0.6166,1.0,0,238,0,148,CCRNE,PubMed,0.05,386,386
22,0.1736,0.2958,0.1736,1.0,0,67,0,319,RCSVM,PubMed,0.05,386,386
23,0.386,0.557,0.386,1.0,0,149,0,237,PU_LP,PubMed,0.05,386,386
24,0.8446,0.9157,0.8446,1.0,0,326,0,60,LP_PUL,PubMed,0.05,386,386
25,0.8944,0.9443,0.8944,1.0,0,415,0,49,MCLS,PubMed,0.06,464,464
26,0.6724,0.8041,0.6724,1.0,0,312,0,152,CCRNE,PubMed,0.06,464,464
27,0.2091,0.3458,0.2091,1.0,0,97,0,367,RCSVM,PubMed,0.06,464,464
28,0.5776,0.7322,0.5776,1.0,0,268,0,196,PU_LP,PubMed,0.06,464,464
29,0.8491,0.9184,0.8491,1.0,0,394,0,70,LP_PUL,PubMed,0.06,464,464
30,0.8872,0.9403,0.8872,1.0,0,480,0,61,MCLS,PubMed,0.07,541,541
31,0.6506,0.7884,0.6506,1.0,0,352,0,189,CCRNE,PubMed,0.07,541,541
32,0.1608,0.2771,0.1608,1.0,0,87,0,454,RCSVM,PubMed,0.07,541,541
33,0.4972,0.6642,0.4972,1.0,0,269,0,272,PU_LP,PubMed,0.07,541,541
34,0.8447,0.9158,0.8447,1.0,0,457,0,84,LP_PUL,PubMed,0.07,541,541
35,0.8805,0.9364,0.8805,1.0,0,545,0,74,MCLS,PubMed,0.08,619,619
36,0.6769,0.8073,0.6769,1.0,0,419,0,200,CCRNE,PubMed,0.08,619,619
37,0.1632,0.2806,0.1632,1.0,0,101,0,518,RCSVM,PubMed,0.08,619,619
38,0.8368,0.9112,0.8368,1.0,0,518,0,101,PU_LP,PubMed,0.08,619,619
39,0.8546,0.9216,0.8546,1.0,0,529,0,90,LP_PUL,PubMed,0.08,619,619
40,0.8922,0.9431,0.8922,1.0,0,621,0,75,MCLS,PubMed,0.09,696,696
41,0.6925,0.8183,0.6925,1.0,0,482,0,214,CCRNE,PubMed,0.09,696,696
42,0.1753,0.2983,0.1753,1.0,0,122,0,574,RCSVM,PubMed,0.09,696,696
43,0.6365,0.7779,0.6365,1.0,0,443,0,253,PU_LP,PubMed,0.09,696,696
44,0.8621,0.9259,0.8621,1.0,0,600,0,96,LP_PUL,PubMed,0.09,696,696
45,0.8887,0.9411,0.8887,1.0,0,687,0,86,MCLS,PubMed,0.1,773,773
46,0.7257,0.8411,0.7257,1.0,0,561,0,212,CCRNE,PubMed,0.1,773,773
47,0.1721,0.2936,0.1721,1.0,0,133,0,640,RCSVM,PubMed,0.1,773,773
48,0.4981,0.6649,0.4981,1.0,0,385,0,388,PU_LP,PubMed,0.1,773,773
49,0.8693,0.9301,0.8693,1.0,0,672,0,101,LP_PUL,PubMed,0.1,773,773
50,0.8907,0.9422,0.8907,1.0,0,758,0,93,MCLS,PubMed,0.11,851,851
51,0.7086,0.8294,0.7086,1.0,0,603,0,248,CCRNE,PubMed,0.11,851,851
